loan_status,Principal,age,education_Bechalor,education_High School or Below,education_Master or Above,education_college,Gender_female,Gender_male,terms_7,terms_15,terms_30
0,1000,45,0,1,0,0,0,1,0,0,1
0,1000,50,1,0,0,0,1,0,0,0,1
0,1000,33,1,0,0,0,1,0,0,0,1
0,1000,27,0,0,0,1,0,1,0,1,0
0,1000,28,0,0,0,1,1,0,0,0,1
0,300,35,0,0,1,0,0,1,1,0,0
0,1000,29,0,0,0,1,0,1,0,0,1
0,1000,36,0,0,0,1,0,1,0,0,1
0,1000,28,0,0,0,1,0,1,0,0,1
0,800,26,0,0,0,1,0,1,0,1,0
0,300,29,0,0,0,1,0,1,1,0,0
0,1000,39,0,1,0,0,0,1,0,1,0
0,1000,26,0,0,0,1,0,1,0,0,1
0,900,26,0,0,0,1,1,0,1,0,0
0,1000,27,0,1,0,0,0,1,1,0,0
0,800,26,0,0,0,1,0,1,0,1,0
0,1000,40,0,1,0,0,0,1,0,0,1
0,1000,32,0,1,0,0,0,1,0,1,0
0,1000,32,0,1,0,0,0,1,0,0,1
0,800,26,0,0,0,1,0,1,0,0,1
0,1000,26,0,0,0,1,0,1,0,0,1
0,1000,43,0,1,0,0,1,0,0,0,1
0,1000,25,0,1,0,0,0,1,0,0,1
0,1000,26,0,0,0,1,0,1,0,1,0
0,1000,26,0,0,0,1,0,1,0,0,1
0,1000,29,0,1,0,0,0,1,0,0,1
0,800,39,1,0,0,0,0,1,0,1,0
0,1000,34,1,0,0,0,0,1,0,1,0
0,1000,31,0,0,0,1,0,1,0,0,1
0,1000,33,0,0,0,1,0,1,0,0,1
0,800,33,0,1,0,0,0,1,0,1,0
0,1000,37,0,0,0,1,0,1,0,0,1
0,1000,27,0,0,0,1,0,1,0,0,1
0,1000,37,0,0,0,1,0,1,0,0,1
0,800,33,0,0,0,1,0,1,0,1,0
0,800,29,1,0,0,0,0,1,0,1,0
0,1000,27,0,1,0,0,0,1,0,0,1
0,700,33,0,1,0,0,0,1,0,1,0
0,1000,24,0,0,0,1,0,1,0,1,0
0,1000,21,1,0,0,0,0,1,0,0,1
0,1000,32,0,0,0,1,1,0,0,1,0
0,800,30,0,0,0,1,0,1,0,1,0
0,1000,31,1,0,0,0,0,1,1,0,0
0,1000,30,0,0,0,1,0,1,0,1,0
0,1000,24,1,0,0,0,1,0,0,1,0
0,800,35,0,1,0,0,0,1,1,0,0
0,1000,22,0,1,0,0,0,1,0,0,1
0,1000,32,0,0,0,1,0,1,0,0,1
0,1000,32,1,0,0,0,0,1,0,0,1
0,800,50,0,1,0,0,0,1,0,1,0
0,800,27,0,0,0,1,1,0,0,1,0
0,1000,35,1,0,0,0,1,0,0,0,1
0,800,35,1,0,0,0,1,0,0,1,0
0,1000,34,0,1,0,0,0,1,0,0,1
0,1000,21,0,1,0,0,0,1,0,0,1
0,1000,25,0,0,0,1,0,1,0,1,0
0,1000,27,0,1,0,0,0,1,0,0,1
0,1000,26,1,0,0,0,0,1,0,0,1
0,800,44,0,1,0,0,1,0,0,1,0
0,800,39,0,0,1,0,0,1,0,1,0
0,1000,34,1,0,0,0,0,1,0,0,1
0,1000,37,0,0,0,1,0,1,0,1,0
0,1000,34,0,1,0,0,0,1,0,0,1
0,1000,45,0,0,0,1,0,1,0,0,1
0,800,24,0,1,0,0,0,1,0,1,0
0,900,28,0,0,0,1,0,1,0,1,0
0,1000,28,1,0,0,0,0,1,0,0,1
0,1000,37,0,1,0,0,0,1,0,0,1
0,300,35,0,0,0,1,0,1,1,0,0
0,1000,43,1,0,0,0,0,1,0,0,1
0,800,29,0,0,0,1,0,1,0,1,0
0,800,29,0,1,0,0,0,1,0,1,0
0,1000,33,1,0,0,0,1,0,0,0,1
0,1000,34,0,0,0,1,0,1,0,1,0
0,1000,25,0,0,0,1,0,1,0,1,0
0,1000,30,0,1,0,0,0,1,0,0,1
0,1000,31,1,0,0,0,0,1,0,0,1
0,1000,35,0,0,0,1,0,1,0,0,1
0,1000,37,0,0,0,1,1,0,0,0,1
0,1000,44,0,1,0,0,1,0,0,0,1
0,1000,28,0,1,0,0,0,1,0,0,1
0,1000,25,0,0,0,1,0,1,1,0,0
0,1000,29,0,0,0,1,0,1,0,1,0
0,800,33,0,0,0,1,0,1,0,1,0
0,1000,37,0,1,0,0,1,0,0,0,1
0,1000,33,0,0,0,1,0,1,0,0,1
0,1000,24,0,1,0,0,1,0,0,0,1
0,1000,27,0,0,0,1,1,0,0,0,1
0,800,43,1,0,0,0,0,1,0,1,0
0,800,46,0,1,0,0,1,0,0,1,0
0,800,34,0,0,0,1,1,0,0,1,0
0,1000,32,1,0,0,0,1,0,1,0,0
0,800,38,0,1,0,0,0,1,0,1,0
0,800,27,0,1,0,0,0,1,0,1,0
0,1000,33,0,1,0,0,0,1,0,0,1
0,1000,36,0,0,0,1,0,1,0,0,1
0,1000,26,0,1,0,0,0,1,0,1,0
0,1000,34,0,0,0,1,0,1,0,0,1
0,1000,22,0,1,0,0,0,1,0,0,1
0,1000,31,1,0,0,0,1,0,0,0,1
0,1000,29,0,1,0,0,0,1,1,0,0
0,800,38,0,0,0,1,0,1,0,1,0
0,1000,30,0,0,0,1,0,1,0,0,1
0,1000,45,0,1,0,0,0,1,0,1,0
0,1000,35,0,0,0,1,0,1,0,1,0
0,1000,30,0,0,0,1,0,1,0,0,1
0,1000,31,0,1,0,0,0,1,0,0,1
0,1000,31,0,1,0,0,0,1,0,0,1
0,1000,28,0,0,0,1,0,1,0,0,1
0,1000,29,0,0,0,1,0,1,1,0,0
0,800,29,0,0,0,1,0,1,0,1,0
0,1000,27,0,0,0,1,1,0,0,0,1
0,1000,27,0,0,0,1,0,1,0,0,1
0,1000,33,0,0,0,1,0,1,0,0,1
0,1000,28,0,0,0,1,0,1,0,0,1
0,1000,25,0,1,0,0,0,1,0,1,0
0,1000,40,0,0,0,1,0,1,0,0,1
0,1000,23,0,1,0,0,0,1,0,0,1
0,1000,35,1,0,0,0,0,1,0,0,1
0,800,24,0,0,0,1,0,1,0,1,0
0,1000,34,0,0,0,1,0,1,0,0,1
0,1000,22,0,1,0,0,0,1,0,0,1
0,1000,20,0,0,0,1,0,1,0,1,0
0,1000,23,0,0,0,1,0,1,0,1,0
0,1000,33,0,0,0,1,0,1,0,0,1
0,1000,26,0,0,0,1,0,1,0,0,1
0,1000,28,0,1,0,0,0,1,0,1,0
0,800,43,0,1,0,0,0,1,0,1,0
0,1000,34,1,0,0,0,0,1,0,1,0
0,1000,38,1,0,0,0,0,1,0,0,1
0,1000,26,0,1,0,0,0,1,0,1,0
0,800,43,0,1,0,0,0,1,0,1,0
0,1000,26,0,1,0,0,0,1,0,0,1
0,1000,33,0,0,0,1,1,0,0,0,1
0,800,24,0,0,0,1,0,1,0,1,0
0,1000,30,0,1,0,0,0,1,0,0,1
0,800,32,0,1,0,0,1,0,0,1,0
0,1000,22,0,0,0,1,0,1,0,1,0
0,1000,47,0,1,0,0,0,1,0,1,0
0,1000,20,0,1,0,0,0,1,0,0,1
0,1000,28,0,1,0,0,0,1,0,0,1
0,800,35,0,0,0,1,0,1,0,1,0
0,1000,27,0,1,0,0,0,1,1,0,0
0,800,33,0,0,0,1,1,0,0,1,0
0,1000,30,0,1,0,0,0,1,0,0,1
0,1000,31,0,0,0,1,0,1,0,1,0
0,1000,26,0,0,0,1,1,0,0,0,1
0,300,37,0,0,1,0,0,1,1,0,0
0,1000,26,1,0,0,0,0,1,0,1,0
0,800,35,1,0,0,0,0,1,0,1,0
0,1000,29,0,0,0,1,0,1,0,1,0
0,800,23,0,0,0,1,0,1,0,1,0
0,500,23,0,0,0,1,1,0,0,1,0
0,1000,30,0,0,0,1,0,1,0,1,0
0,1000,34,0,0,0,1,0,1,0,0,1
0,1000,36,0,1,0,0,1,0,0,0,1
0,1000,26,1,0,0,0,0,1,0,1,0
0,800,29,0,1,0,0,0,1,0,1,0
0,1000,28,0,0,0,1,1,0,0,1,0
0,1000,27,0,1,0,0,0,1,0,0,1
0,1000,24,0,1,0,0,0,1,0,1,0
0,800,31,1,0,0,0,0,1,0,1,0
0,1000,28,0,1,0,0,0,1,0,0,1
0,1000,27,0,0,0,1,1,0,0,1,0
0,1000,25,0,1,0,0,0,1,0,1,0
0,1000,24,0,1,0,0,0,1,0,0,1
0,1000,28,0,0,0,1,0,1,0,0,1
0,800,28,0,0,0,1,0,1,0,0,1
0,1000,35,0,1,0,0,0,1,0,1,0
0,1000,38,0,0,0,1,0,1,0,0,1
0,1000,38,0,1,0,0,0,1,0,1,0
0,1000,29,0,0,0,1,0,1,0,0,1
0,800,35,0,1,0,0,0,1,0,1,0
0,1000,24,0,0,0,1,0,1,0,0,1
0,800,39,0,1,0,0,0,1,0,1,0
0,800,25,0,0,0,1,0,1,0,1,0
0,1000,38,0,1,0,0,0,1,0,0,1
0,1000,30,0,0,0,1,0,1,0,0,1
0,1000,21,0,1,0,0,0,1,0,0,1
0,1000,46,0,0,0,1,0,1,0,0,1
0,1000,31,0,1,0,0,1,0,0,1,0
0,300,29,0,1,0,0,0,1,1,0,0
